Date,^BVSP
2010-01-04,0.02412775215776719
2010-01-11,-0.01845773129728734
2010-01-18,-0.04080508105798586
2010-01-25,-0.012429693083781501
2010-02-01,-0.04118711116569784
2010-02-08,0.04808962758139046
2010-02-15,0.026108247914919502
2010-02-22,-0.01631654393971793
2010-03-01,0.03463959181437204
2010-03-08,0.0071497106025244506
2010-03-15,-0.007411194086973438
2010-03-22,-0.0021234518421682225
2010-03-29,0.03509182186781956
2010-04-05,0.003942398461674657
2010-04-12,-0.02834652084298739
2010-04-19,0.0012668251892158366
2010-04-26,-0.028884297002939263
2010-05-03,-0.07148693548083429
2010-05-10,0.008568109875065844
2010-05-17,-0.051001179172578404
2010-05-24,0.027627241944042424
2010-05-31,-0.004384304443339815
2010-06-07,0.03079720729906832
2010-06-14,0.013011437595737974
2010-06-21,0.005972383954512495
2010-06-28,-0.05377758998258919
2010-07-05,0.032763566524760535
2010-07-12,-0.018074648555190365
2010-07-19,0.06194951188171238
2010-07-26,0.017813050385887763
2010-08-02,0.008553993607915089
2010-08-09,-0.027257025724958694
2010-08-16,0.006213302572705359
2010-08-23,-0.016513054601558608
2010-08-30,0.016543049502427465
2010-09-06,0.0019178047020922406
2010-09-13,0.004212230641060799
2010-09-20,0.016365815990294408
2010-09-27,0.02937541903733809
2010-10-04,0.008224780124528763
2010-10-11,0.014316104821858744
2010-10-18,-0.032543901975783385
2010-10-25,0.01630529051861629
2010-11-01,0.026997731286002136
2010-11-08,-0.03133693264917348
2010-11-15,0.007517821129125579
2010-11-22,-0.0384165005248569
2010-11-29,0.022321061205818893
2010-12-06,-0.02062227338001854
2010-12-13,-0.005296257327779941
2010-12-20,0.007401090449127068
2010-12-27,0.011887708847529765
2011-01-03,0.010792142747579447
2011-01-10,0.012525252932579889
2011-01-17,-0.025802263830554395
2011-01-24,-0.0358572180503991
2011-01-31,-0.021657775909178056
2011-02-07,0.007433730091918278
2011-02-14,0.03454159256284939
2011-02-21,-0.01724870503202247
2011-02-28,0.016440351017148913
2011-03-07,-0.019704120120881186
2011-03-14,0.002919928702088015
2011-03-21,0.013160625463047637
2011-03-28,0.021922444850410727
2011-04-04,-0.007971865446270598
2011-04-11,-0.030046129557849355
2011-04-18,0.0055928724693785625
2011-04-25,-0.01389005070778282
2011-05-02,-0.026290292417103345
2011-05-09,-0.018519628098337293
2011-05-16,-0.01014059169692949
2011-05-23,0.02676451408739311
2011-05-30,0.000715196398530793
2011-06-06,-0.025883464516709864
2011-06-13,-0.0264566122974923
2011-06-20,-0.0007044734352632531
2011-06-27,0.03821670586935255
2011-07-04,-0.030120685152578375
2011-07-11,-0.033642038309427136
2011-07-18,0.01322797121613739
2011-07-25,-0.024301532609532828
2011-08-01,-0.1052037487576083
2011-08-08,0.009847667486724276
2011-08-15,-0.019354651053117067
2011-08-22,0.017070519153129737
2011-08-29,0.05791412779135641
2011-09-05,-0.01342732309458583
2011-09-12,0.025349181869117388
2011-09-19,-0.07210656109577052
2011-09-26,-0.017166990358685297
2011-10-03,-0.020856618831793128
2011-10-10,0.07127995307748058
2011-10-17,0.004080342969077222
2011-10-24,0.074235942040902
2011-10-31,-0.014266253143878416
2011-11-07,-0.002098672464665441
2011-11-14,-0.03150905193232845
2011-11-21,-0.03291674561532254
2011-11-28,0.053071506215736974
2011-12-05,0.006028161069890459
2011-12-12,-0.037421385048146405
2011-12-19,0.028192169223469676
2011-12-26,-0.016548365927315345
2012-01-02,0.03200855812387893
2012-01-09,0.009291174042944661
2012-01-16,0.05212815299173634
2012-01-23,0.00945573107156683
2012-01-30,0.03611041645393698
2012-02-06,-0.018868338271770924
2012-02-13,0.03388905120691277
2012-02-20,-0.003950151564247051
2012-02-27,0.027505940458800282
2012-03-05,-0.016031751834406194
2012-03-12,0.014584894067938947
2012-03-19,-0.02803242800011496
2012-03-26,-0.01998163530962138
2012-04-02,-0.012792486584658036
2012-04-09,-0.025200662682317798
2012-04-16,0.0062279495043942035
2012-04-23,-0.012932498961225392
2012-04-30,-0.014202929098903638
2012-05-07,-0.02288360876342388
2012-05-14,-0.08661230997547875
2012-05-21,-0.0009176333047378193
2012-05-28,-0.01965464786688642
2012-06-04,0.019048548282702527
2012-06-11,0.030309462670722098
2012-06-18,-0.01192358023518203
2012-06-25,-0.019764749225684497
2012-07-02,0.018934678982956754
2012-07-09,-0.019376318207697807
2012-07-16,-0.002506313163509688
2012-07-23,0.04258959828517206
2012-07-30,0.01233672331241742
2012-08-06,0.03477387507606444
2012-08-13,-0.0033625404476467224
2012-08-20,-0.011165313254641873
2012-08-27,-0.02364012519544545
2012-09-03,0.021841363286171145
2012-09-10,0.06286426666635236
2012-09-17,-0.012720446992542378
2012-09-24,-0.03558999971804688
2012-10-01,-0.010259287592555566
2012-10-08,0.010022677204254649
2012-10-15,-0.004064908547634971
2012-10-22,-0.028315388370499406
2012-10-29,0.019125604588005274
2012-11-05,-0.017712423387145293
2012-11-12,-0.03469663399534895
2012-11-19,0.03845538272168092
2012-11-26,-0.0017210062570782725
2012-12-03,0.017454436671325624
2012-12-10,0.018934955849394086
2012-12-17,0.023249148517958673
2012-12-24,-0.000901942517215204
2012-12-31,0.025447819876253774
2013-01-07,-0.016546095912101322
2013-01-14,0.007436062550651101
2013-01-21,-0.012767582431038704
2013-01-28,-0.01347935583992843
2013-02-04,-0.031184951795346194
2013-02-11,-0.010223368911018937
2013-02-18,-0.02104789742717017
2013-02-25,0.0032928072294406974
2013-03-04,0.026866692225798516
2013-03-11,-0.02713042153556522
2013-03-18,-0.029008741662122972
