Date,ABEV3,BBAS3,BBDC4,CPLE6,CSAN3,CSNA3,ELET3,ENBR3,GGBR4,ITUB4,JBSS3,PETR4,SANB11,SULA11,TIMS3,USIM5,VALE3,VIVT3,WEGE3
2010-01-04,,,,,,,,,,,,,,,,,,,
2010-01-11,,,,,,,,,,,,,,,,,,,
2010-01-18,,,,,,,,,,,,,,,,,,,
2010-01-25,,,,,,,,,,,,,,,,,,,
2010-02-01,,,,,,,,,,,,,,,,,,,
2010-02-08,,,,,,,,,,,,,,,,,,,
2010-02-15,,,,,,,,,,,,,,,,,,,
2010-02-22,,,,,,,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,,,,,,,
2010-03-08,,,,,,,,,,,,,,,,,,,
2010-03-15,,,,,,,,,,,,,,,,,,,
2010-03-22,,,,,,,,,,,,,,,,,,,
2010-03-29,,,,,,,,,,,,,,,,,,,
2010-04-05,,,,,,,,,,,,,,,,,,,
2010-04-12,0.023695515919819048,0.030205774235788598,0.015180565042253562,0.023118931688874272,0.03274722808871803,0.042846929721674844,0.07774776116650675,0.009794688448445159,0.014244022080983878,0.02414684237401128,0.06345291332401672,0.035856365903578664,0.03227157134667398,0.03758374899741394,0.0516412510102178,0.04878655797586552,0.03156616304359737,0.026269504401467324,0.026443423990688848
2010-04-19,0.026264675476546883,0.030008850900664616,0.007737462354549511,0.024986051950961628,0.045205325100340206,0.03788978897904094,0.04799060753687447,0.03237412999827635,0.005057514957590874,0.029738128405498634,0.05009748073204597,0.043265272831339026,0.045271306058648104,0.028222891694643072,0.05389690526544035,0.044771594943824516,0.03270752143885276,0.04247493982249116,0.02651008642020236
2010-04-26,0.02615037892271805,0.02285968710909203,0.012414300159670282,0.020794744948515614,0.03992638439092045,0.03280548341319457,0.02678265185196294,0.08945413502495479,0.01722095942675086,0.027394060222131623,0.03694441684990797,0.04181829924515135,0.035654158714800224,0.020787505232813173,0.05216937627504291,0.04357258195647313,0.03182239266852988,0.03445040125016095,0.023466871142953875
2010-05-03,0.023735183021677455,0.01870984884768723,0.015616790412325382,0.008219902619882358,0.04293488040603699,0.02806356153438741,0.021881327646721044,0.03580234369635715,0.009480449869034917,0.024670194722619852,0.04279233056729005,0.03688192447078592,0.029923870243368057,0.025719886679196894,0.035458224431833364,0.045654886468051256,0.040885913263566095,0.03331981567373565,0.03206604438432893
2010-05-10,0.021936793705309442,0.03469012619216979,0.012265446589257958,0.01658935428907909,0.04942060516790269,0.022843541849754956,0.036708015750513176,0.028898583496141956,0.02547027940012926,0.02776462897743888,0.06802246588347712,0.04607047430177569,0.04943986848416904,0.03226260187187381,0.027190502883759658,0.0601597071401547,0.07526564972609495,0.03161772440163316,0.03719555036224613
2010-05-17,0.0191025560267664,0.03293925210960678,0.009973203868121618,0.03353773699398873,0.05284401391063417,0.02071196095474536,0.04390787693146257,0.02857231087536449,0.017076306251208748,0.02622960262461045,0.06340284399116831,0.04815563233576864,0.0386570794830867,0.08860294460354719,0.058786824889133914,0.05778039453847791,0.037788982903670366,0.036312913681558937,0.0383949272429621
2010-05-24,0.02284248899547908,0.0333123232732633,0.007018156851187696,0.01368562367227247,0.05129133697193616,0.01928574344287285,0.04386668865725807,0.0245815490334735,0.057543935877386244,0.034347327101773725,0.06478371167156265,0.05185016531845611,0.03968562423714346,0.04124973802410415,0.06270449052354603,0.06517664544877923,0.03888021202795203,0.03604818475918578,0.042801161686844426
2010-05-31,0.02618398465171636,0.03138186088628467,0.006348119393431775,0.014108664684834793,0.057947275429922666,0.014094705953243018,0.041986211717642836,0.02613289478857496,0.04956841510472623,0.03317129236739796,0.07468370487549428,0.04949540731516334,0.03976585416101495,0.06175693953914855,0.07758472143435675,0.059441457800592346,0.04113604399757308,0.03247011530136049,0.05259484536116006
2010-06-07,0.02678705694725043,0.03751577921564795,0.00019158020223549604,0.016155776084353386,0.05635876828286388,0.01086131386857975,0.03877998095031528,0.025426510177383996,0.031058612577197203,0.032738638824414294,0.06942873740464166,0.05372817496497479,0.03672994909147185,0.04922614786761686,0.07483605226341446,0.05319753702204052,0.03888712723842479,0.03323188413199854,0.04630013367647719
2010-06-14,0.024102603693812404,0.03610197447636353,0.00021304187241341657,0.01110954195619498,0.056967242239883115,0.0958970631087085,0.03835411711145627,0.028121629189519833,0.03419081009803482,0.03167732352943732,0.06733752871720876,0.05158055435406034,0.04539528394703693,0.04710470907743931,0.0711632154371273,0.053710183987476054,0.037032045105536364,0.0395929587766067,0.04356190537155808
2010-06-21,0.024001553633810953,0.03488132732769394,0.00019311046649906675,0.016498610665855087,0.06207356169730563,0.09205664526532824,0.044274544629501755,0.03688113827404768,0.03387156856150178,0.02995840079915474,0.06093716073293054,0.04816370820424853,0.04543701554841475,0.04961956852240555,0.06297397017014159,0.05244464547483207,0.03613999044149582,0.04630221113707119,0.04307604044108621
2010-06-28,0.022944657262452945,0.032824159980399045,0.0001919726168347077,0.024408826705785085,0.057967661201960397,0.09325444547138605,0.04663360357009635,0.036118902867731624,0.03307563083408329,0.026141480327516623,0.05749842519441708,0.04706691173173921,0.041583143775993814,0.05286419943804388,0.06159949687172364,0.05754064183863239,0.03158927347963203,0.04394587059702246,0.040579754037165315
2010-07-05,0.02513492561264371,0.03195492607285101,0.0001915383591315735,0.028056958247178018,0.05382643586465594,0.09090434894745869,0.050569837744465516,0.030423753628232793,0.03949761914967351,0.021974134035224958,0.058664038544666876,0.045606320227929674,0.05297475903641324,0.04877652088261047,0.05761174899216323,0.054148167578171515,0.040363146983851426,0.0476827898040786,0.034511740623603515
2010-07-12,0.02717145996588547,0.03397167253954755,0.006498694223595783,0.026669783360349322,0.05252617193739048,0.09090941537787929,0.04842189736621232,0.014578606395473728,0.041784518150893055,0.03924062236180242,0.052430964977303984,0.04603580587794277,0.0625755789681466,0.04619118034550673,0.05789018602408881,0.060746016157047104,0.04481120201081796,0.041531410806958755,0.03576112369762986
2010-07-19,0.02482343597225376,0.03213643076838623,0.023403026647515382,0.022172899308296353,0.04391994070894502,0.0899087523713327,0.04543750676500384,0.04746977835906884,0.04477827124478122,0.03915861703901798,0.04881255470785135,0.03717010344507656,0.06031893272664905,0.04482581727547738,0.06762925742703033,0.06863024910798446,0.044180383769445504,0.04122487437632755,0.03488819174084586
2010-07-26,0.023298308959745863,0.03560485084929782,0.07399213815239998,0.022800747468444366,0.03662285142230059,0.10223217389820213,0.04652697399638831,0.025398700675958324,0.08947732291404309,0.04356880206670887,0.031835297774144816,0.037431485626366785,0.06478661913005128,0.03473924144554894,0.026954384687781302,0.07967511475201401,0.06314870760069337,0.039162926818794346,0.024811530036568163
