Date,Selic
2010-01-04,0.0016474345443777683
2010-01-11,0.0016474345443777683
2010-01-18,0.0016474345443779903
2010-01-25,0.0016474345443777683
2010-02-01,0.00164706405681736
2010-02-08,0.0016474345443779903
2010-02-15,
2010-02-22,
2010-03-01,0.0016474345443775462
2010-03-08,0.0016474345443777683
2010-03-15,0.0016474345443779903
2010-03-22,0.0016474345443777683
2010-03-29,0.0016474345443775462
2010-04-05,0.0013177306552050183
2010-04-12,0.0016474345443777683
2010-04-19,0.0016474345443777683
2010-04-26,0.0013169899241216587
2010-05-03,0.0017283431751751177
2010-05-10,0.0017841218750802579
2010-05-17,0.0017841218750800358
2010-05-24,0.0017837613613449488
2010-05-31,0.0017834008477390917
2010-06-07,0.0014270430343454876
2010-06-14,0.0018656302326067742
2010-06-21,0.0019199728219132517
2010-06-28,0.0019203333747594975
2010-07-05,0.0019217755874414433
2010-07-12,0.0019217755874414433
2010-07-19,0.0019217755874414433
2010-07-26,0.0019757694237483303
2010-08-02,0.002011766931133252
2010-08-09,0.002011766931133474
2010-08-16,0.002011766931133474
2010-08-23,0.002011766931133252
2010-08-30,0.002011766931133474
2010-09-06,0.002011766931133474
2010-09-13,0.0016090900286693799
2010-09-20,0.002011766931133474
2010-09-27,0.002011766931133252
2010-10-04,0.002011766931133252
2010-10-11,0.002011766931133474
2010-10-18,0.0016090900286693799
2010-10-25,0.002011766931133252
2010-11-01,0.002011766931133474
2010-11-08,0.0016090900286691578
2010-11-15,
2010-11-22,
2010-11-29,0.002011766931133696
2010-12-06,0.002011766931133252
2010-12-13,0.002011766931133474
2010-12-20,0.0020121275104059144
2010-12-27,0.002011766931133252
2011-01-03,0.0020128486693402614
2011-01-10,0.002012488089808251
2011-01-17,0.002011766931133474
2011-01-24,0.0020655543016634414
2011-01-31,0.00210249596834422
2011-02-07,0.002102856573814149
2011-02-14,0.002103217179413308
2011-02-21,0.002103217179413308
2011-02-28,0.002103217179413086
2011-03-07,
2011-03-14,
2011-03-21,0.002192420157136832
2011-03-28,0.0021924201571363877
2011-04-04,0.002192420157136832
2011-04-11,0.0021924201571366098
2011-04-18,0.0021924201571366098
2011-04-25,0.0013237636612757342
2011-05-02,0.0022368988044298987
2011-05-09,0.0022368988044298987
2011-05-16,0.002236898804430121
2011-05-23,0.0022368988044298987
2011-05-30,0.0022368988044296767
2011-06-06,0.0022368988044298987
2011-06-13,0.0022635265950314842
2011-06-20,0.0022812788484629642
2011-06-27,0.0018246071195533453
2011-07-04,0.0022812788484631863
2011-07-11,0.002281278848462742
2011-07-18,0.002281278848462742
2011-07-25,0.002307847471801905
2011-08-01,0.0023255602786294016
2011-08-08,0.0023255602786294016
2011-08-15,0.0023255602786296237
2011-08-22,0.0023255602786298457
2011-08-29,0.0023244782702014355
2011-09-05,0.002270589237489018
2011-09-12,0.0017877172265527985
2011-09-19,0.002234785031119735
2011-09-26,0.0022333424581053585
2011-10-03,0.0022333424581053585
2011-10-10,0.0022333424581051364
2011-10-17,0.0017862752970283502
2011-10-24,0.002179557521327924
2011-10-31,0.0021442868236929424
2011-11-07,0.001715061936803819
2011-11-14,0.0021442868236929424
2011-11-21,0.0017150619368035969
2011-11-28,0.0021442868236933865
2011-12-05,0.0020906158888380766
2011-12-12,0.0020548368625030733
2011-12-19,0.0020548368625030733
2011-12-26,0.0020548368625030733
2012-01-02,0.0020551974541744844
2012-01-09,0.0020548368625030733
2012-01-16,0.0020548368625028512
2012-01-23,0.00200095942255496
2012-01-30,0.0019650427386141978
2012-02-06,0.0019650427386139757
2012-02-13,0.0019650427386139757
2012-02-20,
2012-02-27,
2012-03-05,0.0019650427386139757
2012-03-12,0.0018837373452367245
2012-03-19,0.0018295374150194554
2012-03-26,0.0018295374150192334
2012-04-02,0.0018295374150192334
2012-04-09,0.001463362351209252
2012-04-16,0.0018295374150194554
2012-04-23,0.0017476700152587732
2012-04-30,0.001693095465469474
2012-05-07,0.00135424720175914
2012-05-14,0.0016927349779407574
2012-05-21,0.0016912930291217432
2012-05-28,0.0016912930291219652
2012-06-04,0.0016360394039893755
2012-06-11,0.0012796536095334154
2012-06-18,0.001599822791571448
2012-06-25,0.001599822791571448
2012-07-02,0.0016001832522469783
2012-07-09,0.001599822791571448
2012-07-16,0.0015446733204833585
2012-07-23,0.001507908693438642
2012-07-30,0.00150790869343842
2012-08-06,0.00150790869343842
2012-08-13,0.001507908693438642
2012-08-20,0.001507908693438198
2012-08-27,0.001507908693438198
2012-09-03,0.0014525229905058001
2012-09-10,0.0011323204887985217
2012-09-17,0.001415600890203983
2012-09-24,0.001415600890203983
2012-10-01,0.001415600890203983
2012-10-08,0.001415600890204205
2012-10-15,0.0011138048656855748
2012-10-22,0.0013692993767253636
2012-10-29,0.0013692993767253636
2012-11-05,0.0010952895850129263
2012-11-12,0.0013692993767251416
2012-11-19,0.0010952895850129263
2012-11-26,0.0013692993767253636
2012-12-03,0.0013692993767253636
2012-12-10,0.0013692993767255857
2012-12-17,0.0013667065425275737
2012-12-24,0.0013667065391025357
2012-12-31,0.001113474631892819
2013-01-07,0.0010908459455936104
2013-01-14,0.0013637433101985064
2013-01-21,0.0013637433101985064
2013-01-28,0.0013637433101987284
2013-02-04,0.0013637433101985064
2013-02-11,
2013-02-18,
2013-02-25,0.0013637433101987284
2013-03-04,0.001374505079414945
2013-03-11,0.0013670769469626975
2013-03-18,0.0013718922159913216
2013-03-25,0.001373003434776754
2013-04-01,0.001098252019510193
2013-04-08,0.001373003434776976
2013-04-15,0.001373003434776976
