,ABEV3.SA,BBAS3.SA,BBDC4.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,ELET3.SA,ENBR3.SA,GGBR4.SA,ITUB4.SA,JBSS3.SA,PETR4.SA,SANB11.SA,SULA11.SA,TIMS3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,Selic
2010-03-29,0.03253861938274936,0.006715324403222012,0.020771901609184126,0.030217027064607827,0.04859723705270878,0.010370878386074929,0.013344505568604404,0.006280637968886094,0.0002061758810529335,0.014623526562206446,0.03510756021819713,0.03602432938640055,0.008874940549656651,0.024239696756849057,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-04-05,0.25488256725393166,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.04859723705270878,0.010370878386074929,0.013344505568604404,0.006280637968886094,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.024239696756849057,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-04-12,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-04-19,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-04-26,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-05-03,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-05-10,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-05-17,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-05-24,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
2010-05-31,0.28964687770471986,0.006715324403222012,0.022080875508483484,0.11228365500934268,0.1190890999888529,0.010370878386074929,0.013344505568604404,0.008287851298828652,0.0002061758810529335,0.014623526562206446,0.04553247946997827,0.03602432938640055,0.008874940549656651,0.05662899491832722,0.0015616026362699265,0.005442628453394505,0.032340547132162056,0.0014603497951143907,0.03016570239680655,0.17350188216892753
