,Return
2010-05-31,-1.804600747083201
2010-06-07,-3.0145988519361824
2010-06-14,-3.527516253501741
2010-06-21,-3.5102768275387115
2010-06-28,-3.2975873420587694
2010-07-05,-2.8411395861817144
2010-07-12,-1.6113879207983757
2010-07-19,0.6158819898264289
2010-07-26,3.0131775295788845
2010-08-02,4.210726522049276
2010-08-09,3.7916619939859055
2010-08-16,3.013667246174255
2010-08-23,3.615377498057443
2010-08-30,5.840155593739203
2010-09-06,7.984897669069712
2010-09-13,8.186191809066633
2010-09-20,6.510820710868021
2010-09-27,4.930270301913621
2010-10-04,5.164055949106851
2010-10-11,6.868651737808659
2010-10-18,8.218269617501527
2010-10-25,8.071159040097665
2010-11-01,7.0947126661078705
2010-11-08,6.615835173813226
2010-11-15,4.869379245413574
2010-11-22,4.557750784432834
2010-11-29,2.9744585605545106
2010-12-06,1.0055352292660165
2010-12-13,0.36642584688008295
2010-12-20,1.5773561390155164
2010-12-27,3.231451829672799
2011-01-03,3.4870978016542638
2011-01-10,2.0181214190683674
2011-01-17,0.1532725786505429
2011-01-24,-0.7997200956225847
2011-01-31,-0.8864190360326883
2011-02-07,-0.9349209881437424
2011-02-14,-1.0301943962133635
2011-02-21,-0.5740695974530304
2011-02-28,0.265931455314672
2011-03-07,0.8962298924962969
2011-03-14,1.047921802207033
2011-03-21,0.8124109999158174
2011-03-28,0.54785742028573
2011-04-04,0.5284909152079308
2011-04-11,0.7131655699536742
2011-04-18,0.8522032642989791
2011-04-25,0.7622254937292804
2011-05-02,0.44766301302863437
2011-05-09,-0.01316733281104765
2011-05-16,-0.6024516466376122
2011-05-23,-1.3207699541179587
2011-05-30,-2.048216059915057
2011-06-06,-2.537833868283588
2011-06-13,-2.595077027907447
2011-06-20,-2.240269853361207
2011-06-27,-1.6621718434527453
2011-07-04,-1.0354817890286947
2011-07-11,-0.43630917818694925
2011-07-18,0.07034974688987239
2011-07-25,0.3564136441147948
2011-08-01,0.34455220246229656
2011-08-08,0.19529509881218052
2011-08-15,0.2760007919117767
2011-08-22,0.839887780530292
2011-08-29,1.7273813335966584
2011-09-05,2.456364059491415
2011-09-12,2.6650632676817683
2011-09-19,2.4570615162904725
2011-09-26,2.2762483772955155
2011-10-03,2.448377056174757
2011-10-10,2.8851693704285015
2011-10-17,3.2440736015385783
2011-10-24,3.319882037917776
2011-10-31,3.2188083350915866
2011-11-07,3.1673319839127174
2011-11-14,3.2418730823350943
2011-11-21,3.3509576237089136
2011-11-28,3.4449352119767847
2011-12-05,3.6431285807317484
2011-12-12,4.101993634191148
2011-12-19,4.80012251289719
2011-12-26,5.523558122601065
2012-01-02,6.072101699610571
2012-01-09,6.429092278898796
2012-01-16,6.702402014204378
2012-01-23,6.951820644520362
2012-01-30,7.152932444955647
2012-02-06,7.334792114668076
2012-02-13,7.662764906507348
2012-02-20,8.290594926922354
2012-02-27,9.241842733958224
2012-03-05,10.072603475259301
2012-03-12,10.416991459950875
2012-03-19,10.266385405609965
2012-03-26,9.968637231258217
2012-04-02,9.884534903614496
2012-04-09,10.069904295822107
2012-04-16,10.294141821719334
2012-04-23,10.31211350016123
2012-04-30,10.057077259751408
2012-05-07,9.587145963033947
2012-05-14,8.944575280080336
2012-05-21,8.154122176802197
2012-05-28,7.343107111049414
2012-06-04,6.767498919477833
2012-06-11,6.647999966514131
2012-06-18,6.9885928336901255
2012-06-25,7.594915943456955
2012-07-02,8.26268263590603
2012-07-09,8.898055051906331
2012-07-16,9.446580376477941
2012-07-23,9.7902967496676
2012-07-30,9.826962917808459
2012-08-06,9.671956140958574
2012-08-13,9.683910997820687
2012-08-20,10.171063538897256
2012-08-27,11.044132030772403
2012-09-03,11.82875275941053
2012-09-10,12.093804246540262
2012-09-17,11.870918684936715
2012-09-24,11.612292234135452
2012-10-01,11.726490423882694
2012-10-08,12.191250531510097
2012-10-15,12.639723464702865
2012-10-22,12.779890167967897
2012-10-29,12.663801042970121
2012-11-05,12.54928718974725
2012-11-12,12.584524276183425
2012-11-19,12.706766199776578
2012-11-26,12.828423135120174
2012-12-03,13.020083557263865
2012-12-10,13.439751464344102
2012-12-17,14.112581364116433
2012-12-24,14.859840189146306
2012-12-31,15.470832539046253
2013-01-07,15.895266382538804
2013-01-14,16.223450213033377
2013-01-21,16.516571330876122
2013-01-28,16.744305845003332
2013-02-04,16.918748149635146
2013-02-11,17.212591192687402
2013-02-18,17.835553895083518
2013-02-25,18.762144527595584
2013-03-04,19.64727058028964
2013-03-11,20.091993558035917
2013-03-18,20.01126779207497
2013-03-25,19.708180643453005
2013-04-01,19.571050424472617
2013-04-08,19.719906204478814
2013-04-15,19.958620914187836
2013-04-22,20.02407769297416
2013-04-29,19.815013617770997
2013-05-06,19.37873643700793
2013-05-13,18.76605499709356
2013-05-20,17.99710240273987
2013-05-27,17.173450441998305
2013-06-03,16.53557378573708
2013-06-10,16.32686921510387
2013-06-17,16.595887455464318
2013-06-24,17.172099193947297
2013-07-01,17.839004117158325
2013-07-08,18.483376824750763
2013-07-15,19.053936235852127
2013-07-22,19.444816495040037
2013-07-29,19.536307153957765
2013-08-05,19.393985778590963
2013-08-12,19.346577461425433
2013-08-19,19.741239567495526
2013-08-26,20.57302441116743
2013-09-02,21.413429958286304
2013-09-09,21.785037337631866
2013-09-16,21.623528696490105
2013-09-23,21.33296008621151
2013-09-30,21.36787371436416
2013-10-07,21.79180661955572
2013-10-14,22.2724404690957
2013-10-21,22.47419883172544
2013-10-28,22.38657493075832
2013-11-04,22.254420140115396
2013-11-11,22.26274222030049
