,Return
2011-12-19,-3.7251015462574486
2011-12-26,-1.6592056928400258
2012-01-02,-1.573018440659253
2012-01-09,-2.4900447877427943
2012-01-16,-2.3077382439447693
2012-01-23,-0.6509244533120495
2012-01-30,-0.5389470887700899
2012-02-06,1.6330387979592644
2012-02-13,0.7314054233862782
2012-02-20,2.2161231100113623
2012-02-27,1.8853395973761562
2012-03-05,3.5191246745586593
2012-03-12,3.710234050954601
2012-03-19,3.949515694292534
2012-03-26,3.3906096465093007
2012-04-02,3.3821888532449447
2012-04-09,2.0543709827692878
2012-04-16,1.8340391450436975
2012-04-23,2.5043454163668986
2012-04-30,2.499625001484966
2012-05-07,1.4488203533128312
2012-05-14,0.6777719360533938
2012-05-21,-1.7568736246979095
2012-05-28,-2.2951008428399087
2012-06-04,-3.4930962747517995
2012-06-11,-2.838875601968847
2012-06-18,-1.4601595784561177
2012-06-25,-1.778458947201376
2012-07-02,-0.4135573415652012
2012-07-09,-1.4239129178221743
2012-07-16,-3.550067780249294
2012-07-23,-5.596675844284906
2012-07-30,-5.053289150640699
2012-08-06,-4.067657825492089
2012-08-13,-3.378212274471844
2012-08-20,-2.7862750052450824
2012-08-27,-3.3920337523529067
2012-09-03,-3.6482469259542363
2012-09-10,-3.350204582242508
2012-09-17,-1.8806993874124476
2012-09-24,-1.6260710379954508
2012-10-01,-2.897358344390491
2012-10-08,-2.7225286408589544
2012-10-15,-2.4525690487205427
2012-10-22,-2.0380333580144376
2012-10-29,-2.153233842364341
2012-11-05,-0.410146966619898
2012-11-12,-1.6793679398255588
2012-11-19,-1.57226940675521
2012-11-26,-0.1194136912873236
2012-12-03,-1.2269515834431868
2012-12-10,-0.5575463027679899
2012-12-17,1.4016007925679204
2012-12-24,2.988734941265772
2012-12-31,2.915823122863758
2013-01-07,3.558519717527291
2013-01-14,3.323794878541134
2013-01-21,4.017296355119843
2013-01-28,4.362489081183721
2013-02-04,5.609013629089535
2013-02-11,4.919418774614164
2013-02-18,4.6631368955514905
2013-02-25,4.477610705843139
2013-03-04,4.230115560470566
2013-03-11,6.0107713464472905
2013-03-18,4.786994883176275
2013-03-25,4.307868975512935
2013-04-01,4.5502458365443195
2013-04-08,3.0904802103711067
2013-04-15,4.070742931612764
2013-04-22,1.0599547420157602
2013-04-29,0.7988387368685936
2013-05-06,0.912231286837777
2013-05-13,1.334042361413809
2013-05-20,2.3079059579825016
2013-05-27,2.1202925375633503
2013-06-03,0.22252799598929696
2013-06-10,-0.8880713586674769
2013-06-17,-2.5103210507859504
2013-06-24,-3.299680125534721
2013-07-01,-1.760576766206946
2013-07-08,-3.378834521692081
2013-07-15,-2.822677624822454
2013-07-22,-2.2395318838384197
2013-07-29,-1.9113932925920798
2013-08-05,-0.5671959264267576
2013-08-12,0.2820305312294571
2013-08-19,0.1789147275386248
2013-08-26,-0.23502209855112977
2013-09-02,-0.6890360138787496
2013-09-09,0.22855006020424995
2013-09-16,1.9778541957106337
2013-09-23,2.0790357341981314
