,Return
2010-04-12,1.9989632768934875
2010-04-19,1.7660413248176257
2010-04-26,2.1401309917031752
2010-05-03,1.1128220724432376
2010-05-10,-2.232794228005658
2010-05-17,-3.95023756658933
2010-05-24,-4.547764362701852
2010-05-31,-1.9740211677630026
2010-06-07,-2.094863814080503
2010-06-14,-1.8406396925998205
2010-06-21,-2.9302594328288514
2010-06-28,-1.77613323352662
2010-07-05,-2.1326550187039
2010-07-12,-1.3086114324252036
2010-07-19,-1.2550599215753349
2010-07-26,-0.5831283596690979
2010-08-02,-0.1624440979500814
2010-08-09,0.6206666683508121
2010-08-16,1.6153150947526522
2010-08-23,1.8853067364099758
2010-08-30,1.8840838868500573
2010-09-06,1.0950798113508342
2010-09-13,1.6575843882346963
2010-09-20,4.076224163690245
2010-09-27,4.784130030268328
2010-10-04,5.425310086044297
2010-10-11,9.443539444547035
2010-10-18,10.203656339981599
2010-10-25,9.005555470561282
2010-11-01,10.2208293012529
2010-11-08,11.486534480780435
2010-11-15,10.933250863712548
2010-11-22,9.673764065505537
2010-11-29,7.87603288505484
2010-12-06,8.848608768637355
2010-12-13,9.442881688536046
2010-12-20,8.568659115288822
2010-12-27,9.184578227608753
2011-01-03,11.143483778180146
2011-01-10,10.59335901821423
2011-01-17,11.028427370792606
2011-01-24,9.580463220379302
2011-01-31,8.74930149361429
2011-02-07,7.664811096464095
2011-02-14,7.531996350222985
2011-02-21,10.431291775512365
2011-02-28,9.378273498566838
2011-03-07,10.583327942497434
2011-03-14,10.474770846282857
2011-03-21,9.934145712379278
2011-03-28,10.198335042191395
2011-04-04,10.439852275993612
2011-04-11,11.866274414420843
2011-04-18,11.64351965288262
2011-04-25,12.770134582993482
2011-05-02,12.304895711934073
2011-05-09,12.123061486773132
2011-05-16,11.958341352270825
2011-05-23,12.36368748242761
2011-05-30,13.5711154920802
2011-06-06,13.401225512516477
2011-06-13,11.693366214403204
2011-06-20,11.170976970201034
2011-06-27,11.291449120454816
2011-07-04,13.242003448168294
2011-07-11,11.070175387312094
2011-07-18,10.890128409431341
2011-07-25,10.651549029028425
2011-08-01,9.62448102099216
2011-08-08,6.973558319145719
2011-08-15,5.607134811675282
2011-08-22,7.2322942979531435
2011-08-29,7.0468696229610925
2011-09-05,10.707936599302263
2011-09-12,10.122724012278377
2011-09-19,10.467986310141834
2011-09-26,8.762526942982612
2011-10-03,9.20408496700483
2011-10-10,8.44470925359913
2011-10-17,9.222292510502614
2011-10-24,9.721091478521934
2011-10-31,10.455146126982925
2011-11-07,10.250681423621346
2011-11-14,9.924030241933679
2011-11-21,9.559466930270275
2011-11-28,9.426445467360935
2011-12-05,10.004821115723214
2011-12-12,9.791400920557978
2011-12-19,9.965012650156288
2011-12-26,11.877545717643407
2012-01-02,12.439930596646196
2012-01-09,11.617875461922356
2012-01-16,12.014605180428632
2012-01-23,13.676300674957012
2012-01-30,13.60186186099587
2012-02-06,14.735511062159194
2012-02-13,14.195361986665704
2012-02-20,16.628679843854904
2012-02-27,16.02267712096711
2012-03-05,17.85114201243673
2012-03-12,18.00169193146
2012-03-19,18.820524569504084
2012-03-26,17.545652836233728
2012-04-02,18.03967770049284
2012-04-09,16.934816003300273
2012-04-16,16.226501277808584
2012-04-23,16.717654331308733
2012-04-30,16.120357669378443
2012-05-07,15.98144006372586
2012-05-14,15.168343793493714
2012-05-21,13.486557035574362
2012-05-28,12.994710279312264
2012-06-04,11.70556721408868
2012-06-11,11.777573662858451
2012-06-18,13.28750469189388
2012-06-25,12.975156607770852
2012-07-02,14.600716210781714
2012-07-09,14.602965084763566
2012-07-16,12.238964072073951
2012-07-23,10.51944283798386
2012-07-30,11.225236474832663
2012-08-06,12.633546671073184
2012-08-13,13.810219609074547
2012-08-20,14.363688551754676
2012-08-27,13.166113894782788
2012-09-03,12.012317979879812
2012-09-10,12.685175377778515
2012-09-17,14.35263734866532
2012-09-24,14.092996976237142
2012-10-01,13.316109684530774
2012-10-08,13.35817260600992
2012-10-15,13.495580158280395
2012-10-22,13.077454848147328
2012-10-29,12.831287850048815
2012-11-05,14.304070911362214
2012-11-12,14.085999956819135
2012-11-19,13.785386868725608
2012-11-26,14.929919515710187
2012-12-03,13.562397313513431
2012-12-10,14.561148061190568
2012-12-17,15.406728844957707
2012-12-24,17.57676716409302
2012-12-31,17.879703436928278
2013-01-07,18.892105640052964
2013-01-14,18.807765759353106
2013-01-21,19.751483739452638
2013-01-28,18.5185262472369
2013-02-04,20.19628594009535
2013-02-11,19.832011093236346
2013-02-18,19.404431340681118
2013-02-25,19.23981785169359
2013-03-04,20.261925769779573
2013-03-11,21.57299374737689
2013-03-18,21.057143847136963
2013-03-25,20.99223124139246
2013-04-01,21.093580856878656
2013-04-08,19.60404351459148
2013-04-15,20.668150185078904
2013-04-22,18.622998268052292
2013-04-29,19.62071809081309
2013-05-06,19.692665510860525
2013-05-13,19.34035662608483
2013-05-20,20.04337384282133
2013-05-27,20.380803804161747
2013-06-03,18.67775065085786
2013-06-10,18.261425850433984
2013-06-17,16.676324451078457
2013-06-24,15.76190560650434
2013-07-01,16.747690254764407
2013-07-08,14.55920789985132
2013-07-15,14.846830416925568
2013-07-22,16.08786992805065
2013-07-29,16.399475356437126
2013-08-05,17.350719924980886
2013-08-12,18.033889097962106
2013-08-19,17.864049127396665
2013-08-26,17.6313569752281
2013-09-02,17.03708199818844
2013-09-09,18.331429282114165
2013-09-16,20.2574063224503
2013-09-23,20.372090901679215
2013-09-30,20.467084661322758
2013-10-07,19.864418016717682
2013-10-14,20.409601567400355
