Date,^BVSP
2010-01-11,-0.0184577312972873
2010-01-18,-0.0592628123552731
2010-01-25,-0.0716925054390546
2010-02-01,-0.1128796166047524
2010-02-08,-0.064789989023362
2010-02-15,-0.0386817411084425
2010-02-22,-0.0549982850481604
2010-03-01,-0.020358693233788402
2010-03-08,-0.013208982631264002
2010-03-15,-0.020620176718237404
2010-03-22,-0.022743628560405606
2010-03-29,0.012348193307413893
2010-04-05,0.016290591769088494
2010-04-12,-0.012055929073898807
2010-04-19,-0.010789103884683007
2010-04-26,-0.03967340088762221
2010-05-03,-0.1111603363684564
2010-05-10,-0.1025922264933906
2010-05-17,-0.153593405665969
2010-05-24,-0.1259661637219266
2010-05-31,-0.13035046816526638
2010-06-07,-0.09955326086619808
2010-06-14,-0.08654182327046017
2010-06-21,-0.08056943931594777
2010-06-28,-0.13434702929853687
2010-07-05,-0.10158346277377636
2010-07-12,-0.11965811132896666
2010-07-19,-0.05770859944725436
2010-07-26,-0.03989554906136666
2010-08-02,-0.03134155545345166
2010-08-09,-0.058598581178410256
2010-08-16,-0.05238527860570495
2010-08-23,-0.06889833320726355
2010-08-30,-0.05235528370483615
2010-09-06,-0.05043747900274395
2010-09-13,-0.04622524836168325
2010-09-20,-0.02985943237138885
2010-09-27,-0.0004840133340508479
2010-10-04,0.007740766790477853
2010-10-11,0.022056871612336555
2010-10-18,-0.010487030363446746
2010-10-25,0.005818260155169452
2010-11-01,0.03281599144117155
2010-11-08,0.001479058791998153
2010-11-15,0.008996879921123652
2010-11-22,-0.029419620603733248
2010-11-29,-0.007098559397914449
2010-12-06,-0.027720832777932948
2010-12-13,-0.03301709010571285
2010-12-20,-0.02561599965658585
2010-12-27,-0.013728290809056149
2011-01-03,-0.0029361480614767486
2011-01-10,0.009589104871103052
2011-01-17,-0.01621315895945125
2011-01-24,-0.052070377009850344
2011-01-31,-0.07372815291902834
2011-02-07,-0.06629442282711015
2011-02-14,-0.03175283026426085
2011-02-21,-0.049001535296283254
2011-02-28,-0.032561184279134354
2011-03-07,-0.05226530440001545
2011-03-14,-0.04934537569792745
2011-03-21,-0.036184750234879846
2011-03-28,-0.014262305384469147
2011-04-04,-0.022234170830739648
2011-04-11,-0.05228030038858895
2011-04-18,-0.04668742791921045
2011-04-25,-0.060577478626993246
2011-05-02,-0.08686777104409654
2011-05-09,-0.10538739914243374
2011-05-16,-0.11552799083936313
2011-05-23,-0.08876347675197004
2011-05-30,-0.08804828035343934
2011-06-06,-0.11393174487014913
2011-06-13,-0.14038835716764142
2011-06-20,-0.14109283060290462
2011-06-27,-0.10287612473355212
2011-07-04,-0.1329968098861304
2011-07-11,-0.16663884819555752
2011-07-18,-0.1534108769794202
2011-07-25,-0.177712409588953
2011-08-01,-0.2829161583465613
2011-08-08,-0.2730684908598371
2011-08-15,-0.2924231419129541
2011-08-22,-0.2753526227598244
2011-08-29,-0.217438494968468
2011-09-05,-0.2308658180630538
2011-09-12,-0.2055166361939365
2011-09-19,-0.277623197289707
2011-09-26,-0.2947901876483922
2011-10-03,-0.3156468064801853
2011-10-10,-0.24436685340270478
2011-10-17,-0.2402865104336276
2011-10-24,-0.16605056839272558
2011-10-31,-0.18031682153660397
2011-11-07,-0.18241549400126938
2011-11-14,-0.21392454593359778
2011-11-21,-0.24684129154892026
2011-11-28,-0.19376978533318337
2011-12-05,-0.18774162426329297
2011-12-12,-0.22516300931143937
2011-12-19,-0.19697084008796978
2011-12-26,-0.21351920601528507
2012-01-02,-0.18151064789140617
2012-01-09,-0.17221947384846156
2012-01-16,-0.12009132085672526
2012-01-23,-0.11063558978515846
2012-01-30,-0.07452517333122155
2012-02-06,-0.09339351160299245
2012-02-13,-0.05950446039607975
2012-02-20,-0.06345461196032674
2012-02-27,-0.035948671501526544
2012-03-05,-0.05198042333593264
2012-03-12,-0.03739552926799374
2012-03-19,-0.06542795726810864
2012-03-26,-0.08540959257772994
2012-04-02,-0.09820207916238793
2012-04-09,-0.12340274184470564
2012-04-16,-0.11717479234031143
2012-04-23,-0.13010729130153673
2012-04-30,-0.14431022040044034
2012-05-07,-0.16719382916386413
2012-05-14,-0.2538061391393428
2012-05-21,-0.2547237724440806
2012-05-28,-0.27437842031096704
2012-06-04,-0.2553298720282645
2012-06-11,-0.22502040935754253
2012-06-18,-0.23694398959272453
2012-06-25,-0.25670873881840894
2012-07-02,-0.23777405983545224
2012-07-09,-0.25715037804315005
2012-07-16,-0.25965669120665963
2012-07-23,-0.21706709292148763
2012-07-30,-0.20473036960907023
2012-08-06,-0.16995649453300582
2012-08-13,-0.17331903498065251
2012-08-20,-0.1844843482352943
2012-08-27,-0.2081244734307397
2012-09-03,-0.1862831101445686
2012-09-10,-0.12341884347821631
2012-09-17,-0.13613929047075862
2012-09-24,-0.17172929018880542
2012-10-01,-0.18198857778136093
2012-10-08,-0.17196590057710634
2012-10-15,-0.17603080912474123
2012-10-22,-0.20434619749524063
2012-10-29,-0.18522059290723544
2012-11-05,-0.20293301629438065
2012-11-12,-0.23762965028972954
2012-11-19,-0.19917426756804865
2012-11-26,-0.20089527382512684
2012-12-03,-0.18344083715380124
2012-12-10,-0.16450588130440724
2012-12-17,-0.14125673278644865
2012-12-24,-0.14215867530366386
2012-12-31,-0.11671085542741015
2013-01-07,-0.13325695133951146
2013-01-14,-0.12582088878886036
2013-01-21,-0.13858847121989906
2013-01-28,-0.15206782705982747
2013-02-04,-0.18325277885517358
2013-02-11,-0.19347614776619249
2013-02-18,-0.2145240451933626
2013-02-25,-0.21123123796392201
