,Return
2010-10-25,0.0058650781294025895
2010-11-01,0.011730156258805179
2010-11-08,0.01759523438820777
2010-11-15,0.023460312517610358
2010-11-22,0.029325390647012946
2010-11-29,0.03519046877641554
2010-12-06,0.04105554690581813
2010-12-13,0.046920625035220716
2010-12-20,0.052785703164623304
2010-12-27,0.05865078129402589
2011-01-03,0.06451585942342848
2011-01-10,0.07038093755283108
2011-01-17,0.07624601568223367
2011-01-24,0.08211109381163627
2011-01-31,0.08797617194103886
2011-02-07,0.09384125007044146
2011-02-14,0.09970632819984405
2011-02-21,0.10557140632924665
2011-02-28,0.11143648445864925
2011-03-07,0.11730616043969762
2011-03-14,0.12317583642074599
2011-03-21,0.12904551240179435
2011-03-28,0.13491527365422284
2011-04-04,0.14078503490665134
2011-04-11,0.14665479615907984
2011-04-18,0.1525254215456521
2011-04-25,0.15839604693222437
2011-05-02,0.16426667231879663
2011-05-09,0.1701372977053689
2011-05-16,0.17600792309194116
2011-05-23,0.18187854847851342
2011-05-30,0.1877491738650857
2011-06-06,0.19361979925165795
2011-06-13,0.19949042463823022
2011-06-20,0.2053619463059884
2011-06-27,0.21123346797374656
2011-07-04,0.21710498964150474
2011-07-11,0.2229765113092629
2011-07-18,0.22884803297702108
2011-07-25,0.23471955464477925
2011-08-01,0.24059107631253743
2011-08-08,0.2464625979802956
2011-08-15,0.25233411964805375
2011-08-22,0.2582056413158119
2011-08-29,0.2640771629835701
2011-09-05,0.26994868465132826
2011-09-12,0.27582020631908644
2011-09-19,0.2816917279868446
2011-09-26,0.28776762353695995
2011-10-03,0.2938457280995642
2011-10-10,0.29992756734057446
2011-10-17,0.3060094065815847
2011-10-24,0.31209124582259495
2011-10-31,0.3181730850636052
2011-11-07,0.32425492430461544
2011-11-14,0.3303367635456257
2011-11-21,0.33641860278663593
2011-11-28,0.3425004420276462
2011-12-05,0.3485822812686564
2011-12-12,0.35466412050966667
2011-12-19,0.3607459597506769
2011-12-26,0.36682779899168716
2012-01-02,0.3729096382326974
2012-01-09,0.37899810838551
2012-01-16,0.3850865785383226
2012-01-23,0.39117504869113523
2012-01-30,0.39726351884394784
2012-02-06,0.40335198899676045
2012-02-13,0.40944045914957305
2012-02-20,0.41552892930238566
